term_str,n,n_chars,p,i,max_pos,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
1230,1,4,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.1677395794706251e-05,0.0030478003024183315,0.0,0.0030478003024183315
1250,2,4,2.2770536747092203e-06,18.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.479473810642437e-05,0.0038614266457767605,0.0,0.0038614266457767605
126b,3,4,3.4155805120638303e-06,18.159437769520164,CD,1,8.027905996569885,8.027905996569885,1.354591626097604e-05,0.003535484144114747,0.0,0.003535484144114747
127,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,1.0287043653262964e-05,0.0026849183935016337,0.0,0.0026849183935016337
129,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,9.579028503038389e-06,0.0025001264392930196,0.0,0.0025001264392930196
12s,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,3.909782702841778e-06,0.001020453285441704,0.0,0.001020453285441704
12th,1,4,1.1385268373546102e-06,19.744400270241318,NN,1,8.027905996569885,8.027905996569885,4.175140562407528e-06,0.0010897116867883648,0.0,0.0010897116867883648
13,13,2,1.4800848885609931e-05,16.043960552100227,CD,5,5.705977901682522,28.529889508412612,9.978500048203562e-05,0.026043885125811295,0.0,0.012192260473680605
13like,1,6,1.1385268373546102e-06,19.744400270241318,IN,1,8.027905996569885,8.027905996569885,1.6078547058680742e-05,0.004196500782315674,0.0,0.004196500782315674
13th,7,4,7.969687861482271e-06,16.937045348183716,CD,6,5.442943495848728,32.65766097509237,6.643525564834623e-05,0.017339601724218365,0.0,0.007876908098189186
14,12,2,1.3662322048255321e-05,16.159437769520164,CD,3,6.442943495848728,19.328830487546185,7.449533376789745e-05,0.019443282113421233,0.0,0.009347759877908927
140,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,3.1778345410947683e-06,0.0008294148152257346,0.0,0.0008294148152257346
14000,1,5,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,4.175140562407528e-06,0.0010897116867883648,0.0,0.0010897116867883648
14s,1,3,1.1385268373546102e-06,19.744400270241318,CD,1,8.027905996569885,8.027905996569885,6.3288601899704245e-06,0.0016518325095822809,0.0,0.0016518325095822809
14th,3,4,3.4155805120638303e-06,18.159437769520164,CD,3,6.442943495848728,19.328830487546185,2.916567229923765e-05,0.007612240470101027,0.0,0.005053289016351943
