term_str,n,max_pos
brightened,2,NN
brightening,1,NN
brighter,2,NN
brightest,1,NN
brightly,1,NN
brightness,1,NN
brilliance,1,NN
brilliancy,1,NN
brilliant,2,NN
brilliantly,1,NN
brim,2,NN
brimming,1,NN
bring,57,VB
bringing,2,NN
brink,2,NN
brisk,2,NN
briskly,11,NN
briskness,1,NN
broach,1,VB
broadcast,3,VB
broadcasted,1,NN
broadcasting,1,NN
broadened,2,NN
broadly,3,NN
broadlyit,1,NN
broke,5,NN
broken,1,NN
brokenly,1,NN
bromide,9,NN
bronsen,1,NN
bronze,2,NN
brooch,5,NN
brood,1,VB
brooding,2,NN
brook,1,NN
broth,1,NN
brother,30,NN
brothers,4,NN
brothersthey,1,NN
brought,3,NN
brow,13,NN
brown,21,NN
browns,1,NN
browone,1,NN
brows,5,NN
bruise,3,NN
brunt,1,NN
brush,3,NN
brusquely,2,NN
brutal,1,NN
brutality,2,NN
brutally,4,NN
brute,2,NN
buck,1,NN
bucket,1,NN
budding,1,NN
budge,1,VB
bug,1,NN
bugle,2,NN
bugs,2,NN
build,8,NN
building,15,NN
built,3,NN
bulb,1,NN
bulbs,2,NN
bulge,1,NN
bulging,1,NN
bulgy,1,NN
bulkit,1,NN
bulky,2,NN
bull,4,NN
bulldog,1,NN
bullet,7,NN
bully,1,NN
bullying,3,NN
bump,5,NN
bumpeh,1,NN
bun,2,NN
bunch,11,NN
bundle,16,NN
bungalow,4,NN
bunk,10,NN
bunkair,2,NN
bunkairis,1,NN
bunker,1,NN
bunkum,2,NN
buns,2,NN
buoy,1,VB
burden,1,NN
bureau,6,NN
burglars,4,VB
burglary,4,NN
buried,1,NN
burly,1,NN
burn,4,NN
burned,3,NN
burner,2,NN
burning,6,NN
burnsand,1,NN
burnt,5,NN
burst,34,NN
bury,5,VB
bus,9,NN
buses,1,NN
bush,9,NN
bushes,3,NN
bushy,1,NN
busily,2,NN
business,179,NN
businessa,1,NN
bust,2,NN
buster,1,NN
bustle,3,NN
busy,10,NN
but,397,NN
butand,2,NN
butbut,3,NN
butcher,2,NN
butchers,4,NN
butits,1,NN
butler,36,NN
butlers,2,NN
butshall,1,NN
butt,2,VB
butter,3,NN
buttered,1,VB
butting,2,NN
button,2,NN
buttons,1,NN
butwell,3,NN
butwhat,1,NN
buy,20,VB
buying,3,NN
buzz,1,NN
by,22,NN
bye,29,NN
byes,1,NN
byways,1,NN
bywordand,1,NN
cab,2,NN
cabin,61,NN
cabinet,1,NN
cabins,5,NN
cable,29,NN
cables,6,NN
caboodles,1,NN
cache,1,NN
cade,2,NN
café,2,NN
cake,3,NN
cakes,1,NN
calais,2,VB
calamity,4,NN
calculated,1,NN
calculation,2,NN
calda,1,NN
call,128,VB
called,11,NN
calledand,1,VB
callously,1,NN
callousness,1,NN
calm,19,NN
calmly,8,NN
calmness,1,NN
calumnies,1,NN
camaraderie,1,NN
cambric,6,NN
came,17,NN
camera,6,NN
cameras,1,NN
camouflageof,1,VB
camp,1,NN
campaign,7,NN
can,29,NN
canada,3,NN
canadian,1,NN
cancel,1,VB
candidatenow,1,NN
candidly,2,NN
candle,10,NN
candlestick,1,NN
candlesticks,1,NN
cane,2,NN
canines,1,NN
cannes,1,VB
cannibalism,1,NN
cannot,34,NN
canoe,1,NN
cant,77,NN
cantyou,1,NN
canvas,1,NN
cap,11,NN
capabilities,1,NN
capable,1,NN
capacities,1,NN
capacity,1,NN
cape,3,NN
capital,5,NN
captain,9,NN
captor,3,NN
captors,3,NN
capture,3,VB
car,145,NN
caravan,1,NN
carbon,1,NN
card,36,NN
cardboard,3,NN
cardon,1,NN
cards,5,NN
care,80,NN
cared,2,NN
career,15,NN
careerand,1,NN
careers,1,NN
careful,7,NN
carefully,25,NN
careif,1,VB
careit,1,VB
careless,6,NN
carelessly,9,NN
carelessness,3,NN
caress,1,NN
caretaker,2,NN
caring,1,NN
carnot,1,NN
caroline,16,NN
carpet,11,NN
carpets,1,NN
carriage,16,NN
carriages,1,NN
carrot,2,NN
carrozza,3,NN
carry,30,VB
carrying,1,NN
cars,3,NN
cart,12,NN
carte,2,NN
carter,6,NN
case,362,NN
caseif,1,NN
caseit,1,NN
cases,7,NN
casewho,1,NN
caseyou,1,NN
cash,5,NN
casket,1,NN
casks,1,NN
cast,4,NN
casting,1,NN
castle,1,NN
castoff,1,NN
casually,3,NN
cat,19,NN
catalogue,2,NN
cataract,1,NN
catastrophe,6,NN
catch,45,VB
catchy,1,NN
catechism,1,NN
category,1,NN
catering,1,NN
catlike,1,NN
catlove,1,NN
cats,8,NN
catsi,1,NN
cattle,1,NN
caught,5,NN
cauliflower,1,NN
cause,34,NN
causes,3,NN
caution,7,NN
cautiously,12,NN
cavalier,1,NN
cave,2,NN
cavendish,3,NN
cavern,1,NN
cavity,3,NN
ce,7,NN
cease,1,VB
ceased,1,NN
cedar,1,NN
ceiling,7,NN
celebrity,3,NN
celerity,1,NN
cellar,6,NN
cellars,1,NN
cells,22,NN
cellsremember,1,NN
cent,4,NN
centre,14,NN
century,3,NN
ceremonies,1,NN
ceremoniously,1,NN
ceremony,10,NN
cert,1,NN
certain,5,NN
certainement,1,NN
certainflair,1,NN
certainly,53,NN
certainty,6,NN
certificate,2,NN
cette,1,NN
chagrin,1,NN
chain,11,NN
chainis,1,NN
chair,155,NN
chairand,1,NN
chairman,1,NN
chairs,16,NN
chalk,3,NN
challenge,1,NN
challenged,1,NN
challenging,1,NN
chamber,10,NN
chamberjust,1,NN
champagne,4,NN
champion,3,NN
chance,127,NN
chances,7,NN
chancewe,1,NN
chandelier,1,NN
change,50,NN
changed,12,NN
changeling,1,NN
changes,1,NN
changing,1,NN
channel,2,NN
chaos,1,NN
chap,31,NN
chaperon,1,NN
chaperone,1,NN
chapneither,1,NN
chapter,13,NN
chapters,2,NN
chapvery,1,NN
character,38,NN
characterbound,1,NN
characteristic,2,NN
characters,4,NN
charge,38,NN
charitable,1,VB
charity,5,NN
charm,16,NN
charmas,1,NN
charmeuse,1,NN
charming,6,NN
charms,1,NN
chart,1,NN
charwoman,1,NN
chary,1,NN
chase,5,NN
chasea,1,NN
chasm,2,NN
chat,4,NN
chateau,1,NN
chattily,1,NN
chauffeur,19,NN
cheap,1,NN
cheapin,1,VB
cheat,1,VB
cheating,2,NN
check,4,NN
checked,1,NN
checking,1,NN
checkmate,3,VB
cheek,21,NN
cheekfrom,1,VB
cheeks,17,NN
cheer,11,NN
cheered,1,NN
cheerful,2,NN
cheerfully,30,NN
cheerfulness,1,NN
cheerily,3,NN
cheery,1,NN
cheese,1,NN
chef,2,NN
chemist,9,NN
chemists,18,NN
cheque,19,NN
cher,1,NN
cherub,1,NN
chess,14,NN
chessman,1,NN
chessmen,3,NN
chest,14,NN
chests,1,NN
chew,3,VB
chic,3,NN
chichester,1,NN
chicken,3,NN
chief,17,NN
chiefly,3,NN
chiefs,1,NN
chiffon,2,NN
child,80,NN
childbut,1,NN
childhood,3,NN
children,9,NN
childs,2,NN
chilian,1,NN
chill,10,NN
chilvers,2,NN
chimed,1,NN
chimney,3,NN
